"","date","hits","keyword","geo","gprop","category"
"1",2015-01-04 00:00:00,42,"lose weight","GR","web",0
"2",2015-01-11 00:00:00,42,"lose weight","GR","web",0
"3",2015-01-18 00:00:00,6,"lose weight","GR","web",0
"4",2015-01-25 00:00:00,29,"lose weight","GR","web",0
"5",2015-02-01 00:00:00,46,"lose weight","GR","web",0
"6",2015-02-08 00:00:00,53,"lose weight","GR","web",0
"7",2015-02-15 00:00:00,48,"lose weight","GR","web",0
"8",2015-02-22 00:00:00,54,"lose weight","GR","web",0
"9",2015-03-01 00:00:00,47,"lose weight","GR","web",0
"10",2015-03-08 00:00:00,23,"lose weight","GR","web",0
"11",2015-03-15 00:00:00,48,"lose weight","GR","web",0
"12",2015-03-22 00:00:00,57,"lose weight","GR","web",0
"13",2015-03-29 00:00:00,31,"lose weight","GR","web",0
"14",2015-04-05 00:00:00,39,"lose weight","GR","web",0
"15",2015-04-12 00:00:00,100,"lose weight","GR","web",0
"16",2015-04-19 00:00:00,30,"lose weight","GR","web",0
"17",2015-04-26 00:00:00,32,"lose weight","GR","web",0
"18",2015-05-03 00:00:00,36,"lose weight","GR","web",0
"19",2015-05-10 00:00:00,29,"lose weight","GR","web",0
"20",2015-05-17 00:00:00,37,"lose weight","GR","web",0
"21",2015-05-24 00:00:00,31,"lose weight","GR","web",0
"22",2015-05-31 00:00:00,39,"lose weight","GR","web",0
"23",2015-06-07 00:00:00,31,"lose weight","GR","web",0
"24",2015-06-14 00:00:00,44,"lose weight","GR","web",0
"25",2015-06-21 00:00:00,43,"lose weight","GR","web",0
"26",2015-06-28 00:00:00,31,"lose weight","GR","web",0
"27",2015-07-05 00:00:00,57,"lose weight","GR","web",0
"28",2015-07-12 00:00:00,33,"lose weight","GR","web",0
"29",2015-07-19 00:00:00,40,"lose weight","GR","web",0
"30",2015-07-26 00:00:00,48,"lose weight","GR","web",0
"31",2015-08-02 00:00:00,28,"lose weight","GR","web",0
"32",2015-08-09 00:00:00,61,"lose weight","GR","web",0
"33",2015-08-16 00:00:00,43,"lose weight","GR","web",0
"34",2015-08-23 00:00:00,33,"lose weight","GR","web",0
"35",2015-08-30 00:00:00,13,"lose weight","GR","web",0
"36",2015-09-06 00:00:00,50,"lose weight","GR","web",0
"37",2015-09-13 00:00:00,50,"lose weight","GR","web",0
"38",2015-09-20 00:00:00,42,"lose weight","GR","web",0
"39",2015-09-27 00:00:00,62,"lose weight","GR","web",0
"40",2015-10-04 00:00:00,43,"lose weight","GR","web",0
"41",2015-10-11 00:00:00,44,"lose weight","GR","web",0
"42",2015-10-18 00:00:00,50,"lose weight","GR","web",0
"43",2015-10-25 00:00:00,27,"lose weight","GR","web",0
"44",2015-11-01 01:00:00,27,"lose weight","GR","web",0
"45",2015-11-08 01:00:00,20,"lose weight","GR","web",0
"46",2015-11-15 00:00:00,27,"lose weight","GR","web",0
"47",2015-11-22 00:00:00,39,"lose weight","GR","web",0
"48",2015-11-29 00:00:00,21,"lose weight","GR","web",0
"49",2015-12-06 00:00:00,27,"lose weight","GR","web",0
"50",2015-12-13 00:00:00,14,"lose weight","GR","web",0
"51",2015-12-20 00:00:00,8,"lose weight","GR","web",0
"52",2015-12-27 00:00:00,22,"lose weight","GR","web",0
"53",2016-01-03 00:00:00,55,"lose weight","GR","web",0
"54",2016-01-10 00:00:00,23,"lose weight","GR","web",0
"55",2016-01-17 00:00:00,17,"lose weight","GR","web",0
"56",2016-01-24 00:00:00,24,"lose weight","GR","web",0
"57",2016-01-31 00:00:00,70,"lose weight","GR","web",0
"58",2016-02-07 00:00:00,47,"lose weight","GR","web",0
"59",2016-02-14 00:00:00,46,"lose weight","GR","web",0
"60",2016-02-21 00:00:00,64,"lose weight","GR","web",0
"61",2016-02-28 00:00:00,47,"lose weight","GR","web",0
"62",2016-03-06 00:00:00,30,"lose weight","GR","web",0
"63",2016-03-13 00:00:00,36,"lose weight","GR","web",0
"64",2016-03-20 00:00:00,30,"lose weight","GR","web",0
"65",2016-03-27 00:00:00,43,"lose weight","GR","web",0
"66",2016-04-03 00:00:00,80,"lose weight","GR","web",0
"67",2016-04-10 00:00:00,69,"lose weight","GR","web",0
"68",2016-04-17 00:00:00,63,"lose weight","GR","web",0
"69",2016-04-24 00:00:00,41,"lose weight","GR","web",0
"70",2016-05-01 00:00:00,60,"lose weight","GR","web",0
"71",2016-05-08 00:00:00,42,"lose weight","GR","web",0
"72",2016-05-15 00:00:00,69,"lose weight","GR","web",0
"73",2016-05-22 00:00:00,53,"lose weight","GR","web",0
"74",2016-05-29 00:00:00,42,"lose weight","GR","web",0
"75",2016-06-05 00:00:00,42,"lose weight","GR","web",0
"76",2016-06-12 00:00:00,47,"lose weight","GR","web",0
"77",2016-06-19 00:00:00,24,"lose weight","GR","web",0
"78",2016-06-26 00:00:00,48,"lose weight","GR","web",0
"79",2016-07-03 00:00:00,39,"lose weight","GR","web",0
"80",2016-07-10 00:00:00,78,"lose weight","GR","web",0
"81",2016-07-17 00:00:00,46,"lose weight","GR","web",0
"82",2016-07-24 00:00:00,47,"lose weight","GR","web",0
"83",2016-07-31 00:00:00,42,"lose weight","GR","web",0
"84",2016-08-07 00:00:00,36,"lose weight","GR","web",0
"85",2016-08-14 00:00:00,31,"lose weight","GR","web",0
"86",2016-08-21 00:00:00,52,"lose weight","GR","web",0
"87",2016-08-28 00:00:00,44,"lose weight","GR","web",0
"88",2016-09-04 00:00:00,24,"lose weight","GR","web",0
"89",2016-09-11 00:00:00,37,"lose weight","GR","web",0
"90",2016-09-18 00:00:00,12,"lose weight","GR","web",0
"91",2016-09-25 00:00:00,26,"lose weight","GR","web",0
